model,selected_threshold,cv_f1_mean,cv_roc_auc_mean,valid_accuracy,valid_balanced_accuracy,valid_precision,valid_recall,valid_f1,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_predicted_zeros,test_predicted_ones
LogisticRegressionBalanced,0.5,0.7245458601765689,0.8025979662698413,0.74375,0.7437499999999999,0.7096774193548387,0.825,0.7630057803468208,0.7125,0.7127676199406157,0.7272727272727273,0.691358024691358,0.7088607594936709,0.7788716987029224,83,77
RandomForestBalanced,0.5249999999999999,0.7337032753646758,0.8048967633928571,0.74375,0.7437499999999999,0.7241379310344828,0.7875,0.7544910179640718,0.68125,0.6814345991561181,0.6923076923076923,0.6666666666666666,0.6792452830188679,0.7787154242850445,82,78
DummyMostFrequent,0.3,0.668760907504363,0.5,0.5,0.5,0.5,1.0,0.6666666666666666,0.50625,0.5,0.50625,1.0,0.6721991701244814,0.5,0,160
